title_id,aggregate_rating,description,num_ratings,duration,content_rating,date_published
tt0499549,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1347989,162,PG-13,2009-12-18
tt4154796,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",1187561,181,PG-13,2019-04-26
tt1630029,7.6,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na&apos;vi race to protect their home.",416091,192,PG-13,2022-12-16
tt0120338,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",1223289,194,PG-13,1997-12-19
tt2488496,7.8,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",949205,138,PG-13,2015-12-18
tt4154756,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,1130394,149,PG-13,2018-04-27
tt10872600,8.2,"With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",805989,148,PG-13,2021-12-17
tt0369610,6.9,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",658711,124,PG-13,2015-06-12
tt6105098,6.8,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",255487,118,PG,2019-07-19
tt0848228,8,Earth&apos;s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,1419529,143,PG-13,2012-05-04
tt2820852,7.1,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,402715,137,PG-13,2015-04-03
tt1745960,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN&apos;s elite graduates on a mission that demands the ultimate sacrifice from those chosen to ...",599749,130,PG-13,2022-05-27
tt4520988,6.8,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa&apos;s powers in order to save their kingdom.",182258,103,PG,2019-11-22
tt2395427,7.3,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it&apos;s up to Earth&apos;s mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",888445,141,PG-13,2015-05-01
tt1825683,7.3,"T&apos;Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country&apos;s past.",804826,134,PG-13,2018-02-16
tt1201607,8.1,"Harry, Ron, and Hermione search for Voldemort&apos;s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",903771,130,PG-13,2011-07-15
tt2527336,6.9,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",649516,152,PG-13,2017-12-15
tt6718170,7.1,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.",149697,92,PG,2023-04-05
tt4881806,6.1,"When the island&apos;s dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",328541,128,PG-13,2018-06-22
tt2294629,7.4,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather co...",641247,102,PG,2013-11-27
tt2771200,7.1,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",320735,129,PG,2017-03-17
tt3606756,7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,311515,118,PG,2018-06-15
tt4630562,6.6,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",243472,136,PG-13,2017-04-14
tt1300854,7.1,"When Tony Stark&apos;s world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",871707,130,PG-13,2013-05-03
tt2293640,6.4,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.",247945,91,PG,2015-07-10
tt3498820,7.8,Political involvement in the Avengers&apos; affairs causes a rift between Captain America and Iron Man.,814995,147,PG-13,2016-05-06
tt1477834,6.8,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",493689,143,PG-13,2018-12-21
tt0167260,9,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1892974,201,PG-13,2003-12-17
tt1074638,7.8,"James Bond&apos;s loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",711154,143,PG-13,2012-11-09
tt6320628,7.4,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",519770,129,PG-13,2019-07-02
tt4154664,6.8,Carol Danvers becomes one of the universe&apos;s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,581888,123,PG-13,2019-03-08
tt1399103,6.2,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",420369,154,PG-13,2011-06-29
tt0107290,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park&apos;s cloned dinosaurs to run loose.,1018181,127,PG-13,1993-06-11
tt2109248,5.6,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",322752,165,PG-13,2014-06-27
tt1345836,8.4,"Eight years after the Joker&apos;s reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",1747458,164,PG-13,2012-07-20
tt2527338,6.5,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",469433,141,PG-13,2019-12-20
tt7286456,8.4,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham&apos;s clown prince and leader of the revolution.",1363024,122,R,2019-10-04
tt1979376,7.7,"When a new toy called &quot;Forky&quot; joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",263591,100,G,2019-06-21
