person_id,name,role,title_id
nm0941777,Sam Worthington,actor,tt0499549
nm0757855,Zoe Saldana,actor,tt0499549
nm0000244,Sigourney Weaver,actor,tt0499549
nm0000116,James Cameron,director,tt0499549
nm0000375,Robert Downey Jr.,actor,tt4154796
nm0262635,Chris Evans,actor,tt4154796
nm0749263,Mark Ruffalo,actor,tt4154796
nm0751577,Anthony Russo,director,tt4154796
nm0751648,Joe Russo,director,tt4154796
nm0941777,Sam Worthington,actor,tt1630029
nm0757855,Zoe Saldana,actor,tt1630029
nm0000244,Sigourney Weaver,actor,tt1630029
nm0000116,James Cameron,director,tt1630029
nm0000138,Leonardo DiCaprio,actor,tt0120338
nm0000701,Kate Winslet,actor,tt0120338
nm0000708,Billy Zane,actor,tt0120338
nm0000116,James Cameron,director,tt0120338
nm5397459,Daisy Ridley,actor,tt2488496
nm3915784,John Boyega,actor,tt2488496
nm1209966,Oscar Isaac,actor,tt2488496
nm0009190,J.J. Abrams,director,tt2488496
nm0000375,Robert Downey Jr.,actor,tt4154756
nm1165110,Chris Hemsworth,actor,tt4154756
nm0749263,Mark Ruffalo,actor,tt4154756
nm0751577,Anthony Russo,director,tt4154756
nm0751648,Joe Russo,director,tt4154756
nm4043618,Tom Holland,actor,tt10872600
nm3918035,Zendaya,actor,tt10872600
nm1212722,Benedict Cumberbatch,actor,tt10872600
nm1218281,Jon Watts,director,tt10872600
nm0695435,Chris Pratt,actor,tt0369610
nm0397171,Bryce Dallas Howard,actor,tt0369610
nm1339223,Ty Simpkins,actor,tt0369610
nm1119880,Colin Trevorrow,director,tt0369610
nm2255973,Donald Glover,actor,tt6105098
nm0461498,Beyoncé,actor,tt6105098
nm0736622,Seth Rogen,actor,tt6105098
nm0269463,Jon Favreau,director,tt6105098
nm0000375,Robert Downey Jr.,actor,tt0848228
nm0262635,Chris Evans,actor,tt0848228
nm0424060,Scarlett Johansson,actor,tt0848228
nm0923736,Joss Whedon,director,tt0848228
nm0004874,Vin Diesel,actor,tt2820852
nm0908094,Paul Walker,actor,tt2820852
nm0425005,Dwayne Johnson,actor,tt2820852
nm1490123,James Wan,director,tt2820852
nm0000129,Tom Cruise,actor,tt1745960
nm0000124,Jennifer Connelly,actor,tt1745960
nm1886602,Miles Teller,actor,tt1745960
nm2676052,Joseph Kosinski,director,tt1745960
nm0068338,Kristen Bell,actor,tt4520988
nm0579953,Idina Menzel,actor,tt4520988
nm1265802,Josh Gad,actor,tt4520988
nm0118333,Chris Buck,director,tt4520988
nm1601644,Jennifer Lee,director,tt4520988
nm0000375,Robert Downey Jr.,actor,tt2395427
nm0262635,Chris Evans,actor,tt2395427
nm0749263,Mark Ruffalo,actor,tt2395427
nm0923736,Joss Whedon,director,tt2395427
nm1569276,Chadwick Boseman,actor,tt1825683
nm0430107,Michael B. Jordan,actor,tt1825683
nm2143282,Lupita Nyong&apos;o,actor,tt1825683
nm3363032,Ryan Coogler,director,tt1825683
nm0705356,Daniel Radcliffe,actor,tt1201607
nm0914612,Emma Watson,actor,tt1201607
nm0342488,Rupert Grint,actor,tt1201607
nm0946734,David Yates,director,tt1201607
nm5397459,Daisy Ridley,actor,tt2527336
nm3915784,John Boyega,actor,tt2527336
nm0000434,Mark Hamill,actor,tt2527336
nm0426059,Rian Johnson,director,tt2527336
nm0695435,Chris Pratt,actor,tt6718170
nm5896355,Anya Taylor-Joy,actor,tt6718170
nm0206359,Charlie Day,actor,tt6718170
nm1739338,Aaron Horvath,director,tt6718170
nm2398585,Michael Jelenic,director,tt6718170
nm2966857,Pierre Leduc,director,tt6718170
nm0695435,Chris Pratt,actor,tt4881806
nm0397171,Bryce Dallas Howard,actor,tt4881806
nm1245863,Rafe Spall,actor,tt4881806
nm1291105,J.A. Bayona,director,tt4881806
nm0068338,Kristen Bell,actor,tt2294629
nm0579953,Idina Menzel,actor,tt2294629
nm2676147,Jonathan Groff,actor,tt2294629
nm0118333,Chris Buck,director,tt2294629
nm1601644,Jennifer Lee,director,tt2294629
nm0914612,Emma Watson,actor,tt2771200
nm1405398,Dan Stevens,actor,tt2771200
nm1812656,Luke Evans,actor,tt2771200
nm0174374,Bill Condon,director,tt2771200
nm0005266,Craig T. Nelson,actor,tt3606756
nm0000456,Holly Hunter,actor,tt3606756
nm1102970,Sarah Vowell,actor,tt3606756
nm0083348,Brad Bird,director,tt3606756
nm0004874,Vin Diesel,actor,tt4630562
nm0005458,Jason Statham,actor,tt4630562
nm0425005,Dwayne Johnson,actor,tt4630562
nm0336620,F. Gary Gray,director,tt4630562
nm0000375,Robert Downey Jr.,actor,tt1300854
nm0001602,Guy Pearce,actor,tt1300854
nm0000569,Gwyneth Paltrow,actor,tt1300854
